[set,]image_path[,label,x1,y1,,,x2,y2,,]
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1466.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1467.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1465.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1459.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1458.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1464.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1448.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1460.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1461.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1449.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1463.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1462.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1607.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0069.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0055.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0068.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1606.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1604.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0056.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1599.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1598.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0057.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1605.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1601.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1588.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1589.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1600.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1602.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1603.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0060.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0074.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1593.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1587.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1586.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0075.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0061.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0077.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0063.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1584.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1590.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1591.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1585.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0062.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0076.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1608.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0072.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0066.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1581.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1595.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1594.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1580.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0067.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0073.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1609.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0065.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0071.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0059.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1596.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1582.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1583.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1597.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0058.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0070.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_0064.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1447.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1453.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1452.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1446.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1450.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1444.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1445.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1451.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1469.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1455.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1454.JPG,apple,0,0,,,0,0,,
TRAIN,gs://src-media.ignorethegap.com/apple/apple_1468.JPG,apple,0,0,,,0,0,,
